Nama Pekerjaan,Link SPK,Status,Kategori Project,Progress Upload Teknis,Nilai Kontrak,Task Project,Status Selesai - Automated Test,Tanggal SPK Berakhir,Status Project,Link BAST,Keterangan Tender,Referensi,Url Folder Project,Tanggal Mulai SPK,BAST,Tim Eksternal,PIC,Satuan Kerja,Admin,Deadline Penulisan Ustek,Status Selesai Substansi,PIC Ustek,Pemberi Kerja,Link Referensi,Mekanisme Penunjukan,Status Penulisan Ustek,Tim Internal Project,Sisa Hari Pekerjaan,URL Ustek,Tahapan,Manajemen Penagihan,SPK,Jumlah Hari Berjalan,Peringkat,Urgensi Deadline,Deadline/Pengumuman,Last Update,Tim Penulis Ustek,Lokasi,PIC Project
Pengadaan Jasa Konsultansi Pemetaan Pulau-Pulau Dan Kajian Kebutuhan Penyelenggaraan SKKL Untuk Keterhubungan Jaringan Fiber Optic (DITAKSEL),,optNEdbwBI,opt0Ikmm7g,,299422500,,,,,,Dengan alasan tidak memiliki pengalaman pekerjaan sejenis paling kurang 1 pekerjaan ,,,,,,,Direktorat Jenderal Infrastruktur Digital,,,,,Kementerian Komunikasi dan Digital,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-11 00:00:00,1784881328,,optcnBp9rk,
Indeks Pemajuan Kebudayaan,,optJGac5R3,opt0Ikmm7g,,198000000,"recvmMCLSDAMyL, recvrjf3JhBIPT, recvrjf8eB5Pxh",,2026-06-29 00:00:00,,,,,,2026-05-29 00:00:00,True,,,,,,optaBJGH5a,,Kemenbud,,optvqUXNkj,optJXoIXNF,recvmSihvvFfgX,,,,recvmWSj61F79t,True,,,,,1785827246,,optcnBp9rk,
Jasa Penyusunan Pendaftaran Huruf Daftar Nomor Bangunan Gedung Negara Kabupaten Bandung Barat,,optv1IItaE,opt0Ikmm7g,,238330825,,,,,,,,,,,,,Dinas Pekerjaan Umum dan Tata Ruang,,,,,Kab. Bandung Barat,,optH2rZrfo,optNtkntdg,,,,optRJnmn5v,,,,,,2026-09-11 00:00:00,1788924936,,optcnBp9rk,
Jasa Konsultansi Penyusunan Kajian Penilaian Dampak Ekonomi Akibat Serangan Siber,,optv1IItaE,opt0Ikmm7g,,321346110,,,,,,,,,,,,,Badan Siber dan Sandi Negara,,,,,Badan Siber dan Sandi Negara,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-09 00:00:00,1788922398,,optcnBp9rk,
Dukungan Manajemen Pemenuhan Layanan Dasar,,optNEdbwBI,opt0Ikmm7g,,949938000,,,,,,Tidak lulus nilai ambang batas unsur pengalaman perusahaan pada sub unsur kapasitas perusahaan terkait tenaga ahli tetap yang diusulkan terhadap jumlah tenaga ahli yang ditawarkan,,,,,,,DIREKTORAT JENDERAL BINA PEMBANGUNAN DAERAH,,,,,Kementerian Dalam Negeri,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-05-16 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Penelitian Kajian Kebutuhan Pendirian Unit Satuan Pendidikan (Sekolah) Baru Jenjang PAUD dan Pendidikan Non Formal di Kabupaten Bekasi,,optNEdbwBI,opt0Ikmm7g,,133697524,,,,,,Dengan alasan Tidak hadir pembuktian kualifikasi,,,,,,,Badan Penelitian dan Pengembangan Daerah,,,,,Kab. Bekasi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-14 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi - Jasa Pengelola Media Sosial KDH/WKDH,,optNEdbwBI,opt0Ikmm7g,,177229700,,,,,,"- Tidak memenuhi persyaratan kualifikasi (Tidak menyampaikan/ menggungah SBU Non Konstruksi Subklasifikasi Konten Program Multimedia yang masih berlaku sesuai yang dipersyaratkan). - Tidak memenuhi batas ambang skor total ( skor yang diperoleh 50, ambang batas skor total yang dipersyaratkan 60). - Tidak memenuhi batas ambang Unsur Pengalaman Perusahaan (skor yang diperoleh 18, ambang batas yang dipersyaratkan 36). - Tidak memenuhi batas ambang Unsur Kemampuan Menyediakan Peralatan (skor yang diperoleh 2, ambang batas yang dipersyaratkan 6).",,,,,,,Dinas Komunikasi dan Informatika,,,,,Kab. Kendal,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-12 00:00:00,1784881328,,optcnBp9rk,
JASA KONSULTANSI PENYUSUNAN KAJIAN CETAK BIRU (BLUEPRINT) IMPLEMENTASI MANAJEMEN TALENTA ASN BADAN GIZI NASIONAL TAHUN ANGGARAN 2026,,optTq0MDaF,opt0Ikmm7g,,1098900000,,,,,,Dengan alasan Tidak memenuhi nilai ambang batas,,,,,,,Badan Gizi Nasional,,,,,Badan Gizi Nasional,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-03 00:00:00,1786628938,,optcnBp9rk,
Konsultan Penilaian Indeks dan Status Mutu Penyelenggaraan Pos,,optJGac5R3,opt0Ikmm7g,,348900000,"recvdm05AD3heP, recvrjcGFOhD2O, recvrjcHtw9jOy, recvrjcI6qklGK, recvrjfdQesutb, recvrjfg5IlrnL, recvrjfNcIYkEJ, recvrjgn0F4j3s, recvrjh4PuICfW, recvrjjQKrdI1q, recvrjjTRwVBcR, recvrjk0TIDedk, recvrjk4TO4UKQ, recvrjknJUYFOD, recvrjwHvqdLty, recvrjx1yA1BDC",,2026-11-18 00:00:00,,,Kick off meeting,,,2026-06-22 00:00:00,,recvmSk6PnMJ8a,,Direktorat Jenderal Ekosistem Digital,,,optbF5FFtB,recvafrT4ofoNu,"
, Kementerian Komunikasi dan Digital",,optH2rZrfo,optJXoIXNF,recvtWCEgFDJS9,,,optUScYWtB,recvmWRtscunDK,,,,,2026-06-24 00:00:00,1788241578,,optcnBp9rk,recvmSihvvFfgX
Pengadaan Jasa Konsultansi Survei Pengukuran Capaian SPM Penyelenggaraan MRT Jakarta Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,1577636032,,,,,,Dengan alasan Tidak Lulus Ambang Batas Kualifikasi,,,,,,,Dinas Perhubungan,,,,,DKI Jakarta,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-02-19 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultan Pengukuran Integritas Hakim di 34 Propensi,,optNEdbwBI,opt0Ikmm7g,,822361260,,,,,,"ANS Menang, Urutan 2",,,,,,,Komisi Yudisial Ri,,,,,Komisi Yudisial Ri,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-08-30 00:00:00,1788368755,,optcnBp9rk,
Jasa konsultansi Penyusunan Dokumen Perencanaan Pengadaan Tanah Jalan Marunda - Bojong Karatan,,optNEdbwBI,opt0Ikmm7g,,274527075,,,,,,Dengan alasan Nilai kualifikasi teknis dibawah passing grade.,,,,,,,"Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi",,,,,Kab Bekasi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-25 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Penyempurnaan Rencana Induk Pengelolaan Pantai Utara Jawa Tahun Anggaran 2026,,optv1IItaE,opt0Ikmm7g,,356264490,,,,,,,,,,,,,Sekretariat Badan Otorita Pengelola Pantai Utara Jawa,,,,,Sekretariat Badan Otorita Pengelola Pantai Utara Jawa,,optH2rZrfo,optNtkntdg,,,,optRJnmn5v,,,,,,2026-09-10 00:00:00,1788921935,,optcnBp9rk,
Pekerjaan Belanja Jasa Konsultansi Berorientasi Layanan – Jasa Studi Penelitian dan Bantuan Teknik : Kawasan Rendah Emisi (Low Emission Zone),,optNEdbwBI,opt0Ikmm7g,,208460700,,,,,,Dengan alasan Nilai total kualifikasi teknis tidak masuk ambang batas sesuai persyaratan dalam Dokumen Kualifikasi (60).,,,,,,,DINAS LINGKUNGAN HIDUP,,,,,Kota Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-08 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Rencana Kebutuhan Industri Dalam Rangka Usulan Penetapan Neraca Komoditas,,optNEdbwBI,opt0Ikmm7g,,999987900,,,,,,,,,,,,,Direktorat Jenderal Industri Agro,,2026-06-22 00:00:00,,recvajTXiwF9KO,Kementerian Perindustrian,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-06-21 00:00:00,1784881328,,optcnBp9rk,
"Penyusunan Peta Peluang Investasi (PPI) Pengembangan Investasi Layanan Data Center di Kawasan Ekonomi Khusus (KEK) Edukasi, Teknologi dan Kesehatan Internasional (ETKI) Banten T.A. 2026",,optNEdbwBI,opt0Ikmm7g,,171812000,,,,,,High Potential,,,,,,,DEPUTI BIDANG PERENCANAAN PENANAMAN MODAL,,,,recvmSiRsxf2ki,Kementerian Investasi dan Hilirisasi/BKPM,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,"Peringkat 2, kalah di teknis",,2026-08-04 00:00:00,1786586282,recvajTXiwF9KO,optcnBp9rk,
Pengadaan Jasa Konsultan Kajian Pengembangan dan Pembaruan Berkala Sistem Pemantauan Kinerja Badan Percepatan Pengentasan Kemiskinan,,optJGac5R3,opt0Ikmm7g,,99567000,,,2026-10-02 00:00:00,,,,,,2026-07-03 00:00:00,,,,,,,optbF5FFtB,,Kementerian Koordinator Bidang Pemberdayaan Masyarakat,,,optNtkntdg,,,,,,True,,,,,1784881328,,optcnBp9rk,
"Investment Project Ready To Offer (IPRO) Pengembangan Investasi Ekosistem Semen Geopolimer Rendah Karbon Berbasis Fly Ash, Slag Industri dan Tailing Emas Di Indonesia T.A. 2026",,optNEdbwBI,opt0Ikmm7g,,171811350,,,,,,High Potential,,,,,,,DEPUTI BIDANG PERENCANAAN PENANAMAN MODAL,,,,recvajTXiw5De8,Kementerian Investasi dan Hilirisasi/BKPM,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,,,2026-08-02 00:00:00,1786439763,,optcnBp9rk,
Belanja Jasa Konsultan Studi Integrasi Dukungan Perencanaan dan Pembiayaan Daerah dalam Implementasi Program TEKAD,,optNEdbwBI,opt0Ikmm7g,,664450000,,,,,,High Potential (LULUS BUKAN DAFTAR PENDEK),,,,,,,DIREKTORAT JENDERAL PENGEMBANGAN EKONOMI DAN INVESTASI DESA DAN DAERAH TERTINGGAL,,,,,Kementerian Desa dan Pembangunan Daerah Tertinggal,,optH2rZrfo,optNtkntdg,,,,optIauj19z,,,,Prioritas,,2026-07-27 00:00:00,1785930427,,optcnBp9rk,
Pengembangan Modul Layanan Pertanahan,,optNEdbwBI,opt0Ikmm7g,,1993934584,,,,,,Dengan alasan Nilai unsur pengalaman belum memenuhi ambang batas,,,,,,,KANTOR PUSAT BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA,,,,,Kementerian ATR/BPN,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-24 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Naskah Akademik dan Rancangan Peraturan Daerah tentang Penyelenggaraan Perhubungan,,optNEdbwBI,opt0Ikmm7g,,882430020,,,,,,"tidak memenuhi ambang batas Pekerjaan di bidang Jasa Konsultansi Non Konstruksi paling kurang 1 (satu) pekerjaan dalam kurun waktu 1 (satu) tahun terakhir baik di lingkungan pemerintah maupun swasta, termasuk pengalaman subkontrak, tidak memiliki SBU Jasa Konsultasi Transportasi dengan kode 1.02.01 sub bidang pengembangan sarana transportasi dan 1.02.99 sub bidang transportasi lainnya, tidak Memiliki rata-rata kinerja penyedia dengan nilai MINIMAL BAIK dalam kurun waktu 3 tahun terakhir pekerjaan jasa konsultansi Non Konstruksi",,,,,,,Dinas Perhubungan,,,,,Kab. Mahakam Ulu,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-12 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Penyusunan RAPERDA Pemanfaatan Bagian Jalan,,optTq0MDaF,opt0Ikmm7g,,447500000,,,,,,,,,,,,,"Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi",,,,,Kab. Bekasi,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-24 00:00:00,1788501662,,optcnBp9rk,
Konsultan Perusahaan Penguatan Customer Relationship Management dan Survei Peningkatan Layanan Adminduk,,optv1IItaE,opt0Ikmm7g,,,,,,,,SPSE ICB,,,,,,,DIREKTORAT JENDERAL KEPENDUDUKAN DAN PENCATATAN SIPIL,,,,,Kementerian Dalam Negeri,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-10-16 00:00:00,1787737250,,optcnBp9rk,
PENGADAAN JASA KONSULTANSI PENYUSUNAN INDIKATOR PENILAIAN OPERASIONALISASI KAMPUNG NELAYAN MERAH PUTIH,,optJGac5R3,opt0Ikmm7g,,98856600,"recvmMxMwuscrl, recvmRGGimZRPc, recvmRGJixUl02, recvmRHdTUD7v9, recvmRHTObeLnw, recvmRIa0SesQF, recvoyFdKnVLYP, recvoyFzCzhPLs, recvoyHdcWsdg8, recvoyHgnbE8yx, recvri0gkCvyNw, recvri0jD8UrJY, recvsDp4QIFO1Z",,2026-08-10 00:00:00,,,Pinjam Bendera (Tenos),,,2026-06-12 00:00:00,,recvnxwGlPHPJS,,,,,optaBJGH5a,recvajTXiw6gFo,Kementerian Kelautan dan Perikanan,,optvqUXNkj,optJXoIXNF,"recvajTXiw6gFo, recvafrT4ofoNu, recvmSihvvFfgX",,,,recvmWRtscuSfw,True,,,,,1788849425,,optcnBp9rk,recvajTXiw6gFo
"Sosialisai, Verifikasi dan Pengawasan Pembagian Paket Konversi BBM ke BBG untuk Petani Sasaran Wilayah 1",,optNEdbwBI,opt0Ikmm7g,,4860248000,,,,,,"SUCOFINDO, urutan 4",,,,,,,DIREKTORAT JENDERAL MINYAK DAN GAS BUMI,,,,,Kementerian Energi Dan Sumber Daya Mineral,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,Medium Potential,,2026-09-04 00:00:00,1788501713,,optcnBp9rk,
Pengadaan Konsultan Pendampingan dan Pemantuan Tindak Lanjut Hasil Survei Penilaian Integritas 2025 TA 2026,,optNEdbwBI,opt0Ikmm7g,,1292263110,,,,,,BC : 3/7/2026,,,,,,,KOMISI PEMBERANTASAN KORUPSI KPK,,,,recvajTXiw6gFo,Komisi Pemberantasan Korupsi,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,Juara 2,,2026-07-14 00:00:00,1784881328,,optcnBp9rk,
"Jasa Konsultansi Pemodelan Analisis Data Bencana Untuk Perencanaan Direktorat Tata Ruang, Perkotaan, Pertanahan, dan Penanggulangan Bencana",,optv1IItaE,opt0Ikmm7g,,2446839600,,,,,,,,,,,,,KANTOR MENTERI NEGARA PPN / BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,optRJnmn5v,,,,,,2026-09-11 00:00:00,1788922333,,optcnBp9rk,
Penguatan Sistem Pengendalian Intern Pemerintah (SPIP) dan Survei Penilaian Integritas (SPI) lingkup Kementerian Dalam Negeri,,optNEdbwBI,opt0Ikmm7g,,779425350,,,,,,Dengan alasan Tidak memenuhi ambang batas unsur pengalaman perusahaan,,,,,,,SEKRETARIAT JENDERAL,,,,,Kementerian Dalam Negeri,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-19 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Penyusunan Pedoman Teknis Pelaksanaan Pengukuran Resiliensi Industri Penyiaran,,optJGac5R3,opt0Ikmm7g,,97014000,,,,,,,,,,,,,,,,,,Komdigi,,optvqUXNkj,optNtkntdg,,,,optUScYWtB,,,,,,,1788854227,,optcnBp9rk,
Jasa Pengumpulan Data Dalam Rangka Pengukuran Indeks Kesadaran Masyarakat Terhadap Sediaan Farmasi dan Pangan Olahan yang Aman dan Bermutu Tahun 2026,,optv1IItaE,opt0Ikmm7g,,199754868.35,,,,,,,,,,,,,PUSAT ANALISIS KEBIJAKAN OBAT DAN MAKANAN,,,,,Badan Pengawas Obat Dan Makanan,,optvqUXNkj,optJXoIXNF,,,,optl696BMz,,,,,,2026-08-06 00:00:00,1787044325,,optcnBp9rk,
Penyusunan Peta Proses Bisnis Pemerintah Provinsi DKI Jakarta,,optNEdbwBI,opt0Ikmm7g,,801500000,,,,,,Tidak masuk shortlist,,,,,,,BIRO ORGANISASI DAN REFORMASI BIROKRASI,,,,,DKI Jakarta,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-02-04 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultan Penyusunan White Paper Turunan Master Plan Produktivitas Nasional,,optTq0MDaF,opt0Ikmm7g,,608113500,,,,,,,,,,,,,KANTOR MENTERI NEGARA PPN BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-10 00:00:00,1788509006,,optcnBp9rk,
Konsultansi Penyusunan Materi Teknis dan Pengajuan Draft SK Bupati Tentang D3TLH,,optNEdbwBI,opt0Ikmm7g,,196590000,,,,,, Skor kualifikasi tidak melampaui ambang batas,,,,,,,Dinas Lingkungan Hidup dan Kebersihan,,,,,Kab. Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-05 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Konsultansi Manajemen (RUPM),,optNEdbwBI,opt0Ikmm7g,,164030250,,,,,,,,,,,,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,,,,recvajTXiw6gFo,Kab. Cianjur,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,Juara 3,,2026-04-17 00:00:00,1784881328,,optcnBp9rk,
"Perhitungan Social Return on Investment (SROI) dan
, Indeks Kepuasan Masyarakat (IKM)",,optJGac5R3,opt0Ikmm7g,,20000000,"recvrqoIcfqoKy, recvrqoK4UdMww, recvrqoLd2yAjH, recvrqoMIkAsgK",,2026-08-19 00:00:00,,,,,,2026-07-20 00:00:00,,,Vino,PNM Aceh,,,optaBJGH5a,,PNM Aceh,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,True,,,,,1788850698,,optcnBp9rk,
JASA KONSULTANSI PERANCANGAN KONSEP MODEL PENGEMBANGAN PERUMAHAN DAN KAWASAN PERMUKIMAN DALAM MEWUJUDKAN PROGRAM 3 JUTA RUMAH DAN RUMAH LAYAK HUNI NASIONAL,,optv1IItaE,opt0Ikmm7g,,3000000000,,,,,,,,,,,,,KANTOR MENTERI NEGARA PPN / BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,optl696BMz,,,,,,2026-09-15 00:00:00,1788514440,,optcnBp9rk,
Pengadaan Jasa Konsultansi Verifikasi Laporan Penyelenggaraan Subsidi Prasarana dan Sarana LRT Jakarta Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,866996032,,,,,,Tidak Lulus Ambang Batas Kualifikasi,,,,,,,Dinas Perhubungan,,,,,DKI Jakarta,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-23 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultansi Survei Pengukuran Capaian SPM Penyelenggaraan LRT Jakarta Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,1254068032,,,,,,Dengan alasan Tidak Lulus Ambang Batas Kualifikasi,,,,,,,Dinas Perhubungan,,,,,DKI Jakarta,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-02-19 00:00:00,1784881328,,optcnBp9rk,
Kajian Realisasi Investasi Daerah,,optJGac5R3,opt0Ikmm7g,,43500000,,,2026-07-23 00:00:00,,,,,,2026-06-24 00:00:00,,recvngnl2TwOKe,,,,,optaBJGH5a,,DPMPTSP Kab Bogor,,optvqUXNkj,optNtkntdg,,,,,,True,,,,,1788850687,,optcnBp9rk,recvajTXiwF9KO
PELAKSANAAN AUDIT KINERJA BUMD (DIAGNOSTIC PERFORMANCE REVIEW) PT PEMBANGUNAN JAYA ANCOL TBK,,optv1IItaE,opt0Ikmm7g,,3276165000,,,,,,"Tidak dilanjut, Levner",,,,,,,BADAN PEMBINAAN BADAN USAHA MILIK DAERAH,,,,,Provinsi DKI Jakarta,,optH2rZrfo,optNtkntdg,,,,optl696BMz,,,,,,2026-09-08 00:00:00,1788863762,,optcnBp9rk,
Jasa Konsultan Penyusunan Kajian Risiko Bencana,,optNEdbwBI,opt0Ikmm7g,,256715000,,,,,,Tidak memenuhi Persyaratan Pengalaman Minimal yaitu Nilai pekerjaan sejenis tertinggi dalam kurun waktu 10 (sepuluh) tahun terakhir paling kurang sama dengan 50% (lima puluh persen) nilai HPS/Pagu Anggaran,,,,,,,BADAN PENANGGULANGAN BENCANA DAERAH,,,,,Kota Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-11 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Naskah Akademik RAPERDA Pengelolaan Pasar,,optNEdbwBI,opt0Ikmm7g,,199927650,,,,,,tidak memenuhi batas persyaratan pengalaman minimal,,,,,,,Dinas Perdagangan dan Perindustrian,,,,,Kab. Sukabumi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-05 00:00:00,1784881328,,optcnBp9rk,
SKM DPRD Jateng,,optv1IItaE,opt9Viclbu,,,recvngqnloO83U,,,,,,,,,,,,,,,,,,,optvqUXNkj,optJXoIXNF,,,,,,,,,,,1787044121,,,recvmSj7JvHzH9
Survey Kinerja DPRD Provinsi Jawa Tengah,,optJGac5R3,opt0Ikmm7g,,899794860,recvto1gvHTyEo,,,,,"Pembuktian dengan menggunakan bendera Amytas, COMLEC dan Indekstat. Namun yang dimenangkan adalah COMLEC",,,,,,,SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH,,,optbF5FFtB,,Provinsi Jawa Tengah,,optH2rZrfo,optJXoIXNF,recvmSihvvFfgX,,,optUScYWtB,recvto1gEMcZGQ,,,High Potential,,2026-08-16 00:00:00,1788848959,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Bidang-Pengembangan Pertanian dan Perdesaan Pendampingan Petani Closed Loop,,optNEdbwBI,opt0Ikmm7g,"optJewAt8b, opt6CUNgeO, optCA956ny",199089616,,,,,,"Juara 2, Menang diharga turun 20%",,,,,,,Dinas Pertanian,,,,,Kab. Bekasi,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-08-01 00:00:00,1786022281,,optcnBp9rk,
JASA PEMBIAYAAN LEMBAGA PENGELOTA PROGRAM (LPP) KEGIATAN RESTRUKTURISASI MESIN DAN/ATAU PERALATAN INDUSTRI KECIL DAN MENENGAH,,optNEdbwBI,opt0Ikmm7g,,1755368000,,,,,,Tender Batal,,,,,,,Direktorat Jenderal Industri Kecil Menengah dan Aneka,,,,,Kementerian Perindustrian,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-03-09 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik Belanja Jasa Konsultansi Penyusunan Rencana Penanggulangan Kemiskinan Daerah (RPKD),,optNEdbwBI,opt0Ikmm7g,,299950909,,,,,,Nilai kualifikasi teknis dibawah passing grade.,,,,,,,Badan Perencanaan Pembangunan Daerah,,,,,Kab. Bekasi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-10 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultansi Penyusunan Naskah Akademik tentang Pemberdayaan dan Perlindungan Ekonomi Kreatif Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,224635000,,,,,,Tidak menghadiri pembuktian kualifikasi,,,,,,,SEKRETARIAT DPRD,,,,,Provinsi DI Yogyakarta,,optH2rZrfo,optNtkntdg,,,,optIauj19z,,,,,,2026-07-27 00:00:00,1785312083,,optcnBp9rk,
JASA PEMBIAYAAN LEMBAGA PENGELOTA PROGRAM (LPP) KEGIATAN RESTRUKTURISASI MESIN DAN/ATAU PERALATAN INDUSTRI KECIL DAN MENENGAH,,opty2DWWuN,opt0Ikmm7g,,1755368000,,,,,,,,,,,,,Direktorat Jenderal Industri Kecil Menengah dan Aneka,,,,,Kementerian Perindustrian,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-03 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Arsitektur dan Roadmap Transformasi Digital Kementerian Sekretariat Negara,,optTq0MDaF,opt0Ikmm7g,,487401000,,,,,,Pembuktian 17 - 3 Agustus ,,,,,,,SEKRETARIAT KEMENTERIAN SEKRETARIAT NEGARA,,,,,Kementerian Sekretariat Negara,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Tidak Potensial,,2026-08-03 00:00:00,1785764083,,optcnBp9rk,
Jasa Konsultansi Rencana Aksi Pencapaian Target Indeks Kinerja Pengelolaan Sampah Kota Tangerang,,optNEdbwBI,opt0Ikmm7g,,243432000,,,,,,Dengan alasan Nilai total kualifikasi teknis tidak masuk ambang batas sesuai persyaratan dalam Dokumen Kualifikasi (60).,,,,,,,BADAN PERENCANAAN PEMBANGUNAN DAERAH,,,,,Kota Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-25 00:00:00,1784881328,,optcnBp9rk,
Pembangunan Aplikasi Solusi Layanan Virtual (Solv),,optNEdbwBI,opt0Ikmm7g,,786584311,,,,,,Nilai unsur pengalaman tidak memenuhi ambang batas,,,,,,,KANTOR PUSAT BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA,,,,,Kementerian ATR/BPN,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-24 00:00:00,1784881328,,optcnBp9rk,
III.1.1 Konsultansi Penyusunan KLHS Jambe - Legok Tahap 1,,optNEdbwBI,opt0Ikmm7g,,268014000,,,,,,Tidak lulus nilai pengalaman perusahaan,,,,,,,Dinas Lingkungan Hidup dan Kebersihan,,,,,Kab. Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-03-09 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultan Verifikasi Nilai Tingkat Komponen Dalam Negeri Perusahaan Pertambangan Batubara,,opty2DWWuN,opt0Ikmm7g,,999999999,,,,,,"Penyimpangan terhadap ketentuan dan prosedur yang diatur dalam Peraturan Presiden Nomor 16 Tahun 2018 tentang Pengadaan Barang/Jasa Pemerintah beserta perubahannya, aturan turunannya, dan ketentuan yang telah ditetapkan dalam Dokumen Pemilihan",,,,,,,DITJEN MINERAL DAN BATUBARA,,,,,Kementerian Energi Dan Sumber Daya Mineral,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-22 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Survei Pendataan dan Penilaian PBB-P2 ,,opty2DWWuN,opt0Ikmm7g,,282958980,,,,,, Jumlah peserta yang lulus prakualifikasi kurang dari 3 peserta,,,,,,,Badan Pendapatan Daerah,,,,,Kota Madiun,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-27 00:00:00,1785811947,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Khusus - Penyusunan Rencana Induk Pengelolaan Sampah,,optNEdbwBI,opt0Ikmm7g,,399684360,,,,,,"
, Tidak memenuhi ambang batas penilaian kualifikasi",,,,,,,DINAS LINGKUNGAN HIDUP,,,,,Kota Surakarta,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Tidak Potensial,,2026-08-04 00:00:00,1785847751,,optcnBp9rk,
