Status,Tanggal Selesai,Kategori Project,Pemberi Kerja,Parent items,PIC,Tanggal Mulai,Realisasi Investasi Lab.Bogor,Deskripsi,Jenis Tahapan,Deadline,Project,Task
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-06-22 00:00:00,recvmMxx0YQKke,Penyusunan dan finalisasi instrumen
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Analisis Pengembangan RS
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-23 00:00:00,,,,2026-08-03 00:00:00,recvmLMReAlqLy,Paparan Antara & FGD
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Pelatihan Entri Data
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Pengumpulan Data Lapangan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Keynote
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-18 00:00:00,,,optJOj6LVY,2026-06-26 00:00:00,recvmMyX8cOcXH,Revisi Laporan Akhir
opt5Dt7rUO,,,,,,2026-08-04 00:00:00,,,,,recvmMyXnzwCel,
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-17 00:00:00,,,optZ66DTcP,,recvmMyWQhZp0m,Kick Off Meeting
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,RAB & HPS
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-01 00:00:00,,,optJ0v2epl,2026-06-05 00:00:00,recvmMyX8cOcXH,Analisis Aspek Pasar
optgdy5sBo,,,,,recvajTXiw5De8,2026-05-14 00:00:00,,,optJ0v2epl,2026-05-15 00:00:00,recvmMyX8cOcXH,Penyusunan Instrumen In-depth Interview
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-23 00:00:00,,,,2026-08-03 00:00:00,recvmMxx0YQKke,Paparan Antara & FGD
optgdy5sBo,,,,,recvmSihvvFfgX,2026-07-13 00:00:00,,,optJOj6LVY,,recvmMxGVkXBIV,Penyusunan Bahan Paparan Akhir
opt5Dt7rUO,,,,,,2026-06-23 00:00:00,,,optJ0v2epl,,recvmWLyJaMkmD,Pelatihan Enumerator
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Pelatihan Enumerator
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Usulan Teknis
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-13 00:00:00,,,,2026-07-19 00:00:00,recvmMyWQhZp0m,Revisi dokumen Renstra
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Pelaksanaan In-depth Interview
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Analisis Eksternal dan Kondisi Eksisting
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Tabulasi Data
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,Usulan Teknis
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Pengumpulan Data Lapangan
opt5Dt7rUO,,,,,,2026-09-08 00:00:00,,,,2026-09-08 00:00:00,recvh160ZURCcT,Progress Report
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-23 00:00:00,,,,2026-08-03 00:00:00,recvmMxx0YQKke,Laporan Antara
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,2026-07-18 00:00:00,recvmMxL1HyZRY,Penyusunan Laporan Akhir
optgdy5sBo,,,,,recvmSihvvFfgX,2026-07-13 00:00:00,,,optJOj6LVY,,recvmMxGVkXBIV,Penyusunan Laporan Antara
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,2026-07-18 00:00:00,recvmMxL1HyZRY,Finalisasi Laporan Akhir
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Pengolahan Data Hasil In-depth Interview
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Cleaning Berkas
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Cleaning Berkas
,,,,,recvmSihvvFfgX,2026-06-09 00:00:00,,,optJ0v2epl,2026-06-09 00:00:00,recvmMyYguBWdS,Internal review dan quality assurance
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,Entri Data
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Pelatihan Enumerator
optgdy5sBo,,,,,,2026-06-05 00:00:00,,,optJ0v2epl,2026-06-08 00:00:00,recvmWLyJaMkmD,Tabulasi Data
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Kuesioner
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Persiapan Project
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Kerangka Acuan Kerja
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Laporan Antara
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Pengumpulan Data Lapangan
,,,,,recvmSihvvFfgX,2026-06-26 00:00:00,,,optJ0v2epl,2026-06-26 00:00:00,recvmMyYguBWdS,Pengumpulan data primer
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-11 00:00:00,,,optJ0v2epl,2026-06-17 00:00:00,recvmMyX8cOcXH,Analisis Aspek Finansial
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-12 00:00:00,,,optJ0v2epl,2026-06-12 00:00:00,recvmMyYguBWdS,Observasi Pelaksanaan Program TJSL
optgdy5sBo,,,,,,2026-04-30 00:00:00,,,optZ66DTcP,,recvmWLyJaMkmD,Kick Off Meeting
optgdy5sBo,,,,,recvmSihvvFfgX,2026-07-13 00:00:00,,,optJOj6LVY,,recvmMxGVkXBIV,Penyusunan Laporan Akhir
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-18 00:00:00,,,optJ0v2epl,2026-06-18 00:00:00,recvmMyYguBWdS,Pembahasan internal bahan koordinasi lanjutan (Offline)
,,,,,,2026-06-16 00:00:00,,,optZ66DTcP,,recvmWLHixJuLV,Kick Off Meeting
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-17 00:00:00,,,optGKoXF5a,,recvmMxGVkXBIV,Penyusunan Kuesioner Survei
opt5Dt7rUO,,,,,,2026-08-05 00:00:00,,,,,recvrjYCYYxVXq,Laporan Akhir
